num_connections perm aperture
14 1e-12 1e-05
10 1e-12 1e-05
7 1e-12 1e-05
5 1e-12 1e-05
3 1e-12 1e-05
2 1e-12 1e-05
3 1e-12 1e-05
4 1e-12 1e-05
1 1e-12 1e-05
2 1e-12 1e-05
2 1e-12 1e-05
2 1e-12 1e-05
1 1e-12 1e-05
0 1e-12 1e-05
1 1e-12 1e-05
0 1e-12 1e-05
1 1e-12 1e-05
0 1e-12 1e-05
3 1e-12 1e-05
0 1e-12 1e-05
