Depth_m,Azimuth_deg,Dip_deg
461.76,74.27,82.7
463.53,253.72,68.51
464.04,234.54,67.14
465.08,98.34,60.09
465.6,175.19,77.47
466.41,182.9,51.53
468.34,69.34,62.9
468.87,78.83,59.4
469.05,118.4,72.65
469.73,79.8,86.58
470.72,106.31,61.46
470.97,87.83,77.96
471.7,97.85,73.01
473.99,260.17,38.16
474.99,266.52,32.23
476.85,245.38,46.97
477.12,240.75,30.09
478.01,44.2,38.45
478.27,101.36,72.47
478.71,262.77,58.99
478.84,198.43,50.44
478.93,64.12,37.38
478.94,199.86,55.38
479.01,198.44,46.95
479.03,202.96,49.81
479.09,202.46,50.43
479.22,223.42,64.49
479.36,199.77,52.58
482.41,344.19,57.71
483.27,329.5,63.77
483.79,287.69,31.99
483.9,358.16,27.79
487.52,73.81,45.7
489.64,106.1,24.09
489.8,59.97,63.18
490.64,214.8,63.24
490.98,65.3,58.34
491.17,203.95,45.73
491.28,170.19,60.94
491.97,184.85,47.36
492.58,318.83,71.66
492.79,188.63,61.2
492.89,179.13,57.05
492.99,297.95,56.67
493.2,166.11,77.53
493.41,5.71,68.36
493.59,321.73,66.77
493.79,56.83,53.81
493.91,317.89,68.86
494.03,302,50.5
494.45,42.32,46.78
494.9,92.13,52.09
495.28,32.71,53.12
495.38,31.97,31.33
495.48,20.45,29.56
496.64,42.42,15.46
496.91,295.49,49.28
497.33,155.9,72.87
497.35,344.05,55.7
497.51,290.85,22.8
497.56,16.25,12.96
497.66,259.39,53.72
497.96,221.66,8.5
498.12,299.12,69.05
498.48,335.24,59.41
499.14,26.68,42.87
499.84,345.94,77.88
499.96,331.1,64.99
501.05,100.72,22.94
501.2,64.84,30.97
502.52,21.06,49.44
502.59,12.45,55.1
502.65,351.54,49.99
503.73,309,61.22
504.22,48.99,48.08
504.24,69.23,76.17
504.44,15.75,37.53
504.55,88.33,67.26
505.04,36.77,34.62
505.08,27.36,38
505.2,36.95,50.58
505.3,44.6,22.19
505.28,58.15,23.07
505.43,177.7,52.73
506.3,37.35,30.84
507.91,215.99,13.94
508.44,84.41,27.44
509.6,147.23,63.48
509.72,86.89,31.26
509.93,195.38,34.89
510.35,324.25,55.12
510.41,320.8,66.04
510.47,320.36,74.77
510.55,311.02,60.37
510.76,352.76,53.52
511.81,146.94,35.58
512.05,143.6,39.47
513.15,191.58,29.23
515.13,46.08,44.66
516.06,221.98,81.28
516.23,231.61,84.3
518.13,88.15,42.38
518.29,208.07,16.25
519.39,84.75,71.1
519.46,79.72,60.39
519.49,75.77,76.51
519.77,256.78,82.12
531.92,220.94,15.94
540.05,41.14,40.35
540.22,40.73,40.25
550.51,20.2,36.46
550.62,93.11,51.24
551.02,134.46,66.07
557.56,162.15,66.82
558.46,69.7,77.61
561.96,175.99,77.18
567.5,347.28,55.21
569.64,30.91,47.07
573.42,66.96,79.28
575.61,40.11,41.81
577.94,178.86,73.07
578.34,165.72,78.68
579.46,175.96,79.46
580.32,323.81,53.77
580.6,164.77,78.08
580.81,94.78,73.31
580.92,86.31,72.78
581.3,161.14,68.63
582.04,271.82,77.23
582.43,16.55,7.85
582.57,47.59,25.94
582.59,22.61,53.23
583.26,61.74,81.78
584.1,73.23,82.79
584.15,59.4,57.8
584.21,50.61,77.41
584.28,49.01,65.58
584.36,52.75,51.29
584.38,64.37,49.2
584.42,85.61,48.04
584.53,85.47,55.14
585.24,6.6,58.62
585.47,220.42,25.97
587.61,27.55,66.32
588.21,258.69,79.63
596.14,341.54,48.23
596.76,352.37,30.79
598.89,1.97,37.13
599.49,21.45,41.89
599.75,331.26,57
599.9,1.67,50.32
599.98,356.89,45.52
600.07,354.69,48.88
600.31,348.92,57.8
600.35,229.24,71.11
600.62,345.51,46.6
600.64,328.25,64.54
600.97,329.71,57.75
601.21,174.2,77.77
601.29,7.84,54.7
602.49,322.75,62.99
606.17,52.06,38.5
606.75,262.25,80.82
610.37,31.31,38.34
610.86,48.42,75.84
611.22,48.26,59.78
611.42,231.38,75.49
612.03,352.18,45.22
612.8,255.17,26.37
613.06,56.05,69.28
613.47,52.78,66.47
614.82,36.77,6.61
614.96,305.72,39.69
615.8,26.55,13.89
616.71,326.49,32.52
617.99,174.95,73.59
619.17,249.94,21.37
619.93,315.11,37.38
620.31,82.91,78.04
620.64,75.89,80.05
622.5,63.3,76.25
622.54,284.03,14.64
623.42,273.61,19.51
626.12,59.57,64.16
629.21,10.33,74.85
629.5,348.87,76.47
631.12,39.08,69.08
639.79,180.14,81.95
642.43,238.02,45.12
646.31,39.41,42.52
646.59,46.38,29.7
646.62,60.74,44.16
646.64,67.84,39.94
646.96,122.19,56.03
655.4,110.94,79.74
656.29,41.12,38.68
660.01,275.81,63.7
663.26,329.35,56.66
664.18,261.9,61.53
665.82,112.43,64.88
669.09,329.5,72.8
669.57,339.07,74.68
670.59,108.97,73.81
671.05,311.1,48.44
671.25,232.77,73.78
671.73,120.48,84.35
673.34,187.01,36.7
677.25,277.12,51
679,118.4,71.61
679.04,264.84,62.27
679.54,80.9,53.54
679.75,91.76,65.58
680,223.72,76.52
680.43,302.13,78.04
680.6,320.38,23.87
