f1 f2 x y z length
1 2 0 -1.237784916e-08 0 0.8343145823
1 -3 -0.5 -1.394075516e-08 0 0.7514718787
2 3 0 -4.578530055e-10 0.2 0.6343146098
2 4 0 -4.578530055e-10 -0.2 0.6343146098
3 -5 0.5 4.869350972e-08 0.2 0.4828426953
4 -5 0.5 4.869350972e-08 -0.2 0.4828426953
