permeabiliy
-7 0 0 1.0149767e-09 1.0149767e-09 1.0149767e-09
-8 0 0 8.892228206e-10 8.892228206e-10 8.892228206e-10
-9 0 0 6.298953791e-10 6.298953791e-10 6.298953791e-10
-10 0 0 6.028804183e-10 6.028804183e-10 6.028804183e-10
-11 0 0 5.405495564e-10 5.405495564e-10 5.405495564e-10
-12 0 0 7.525832951e-10 7.525832951e-10 7.525832951e-10
-13 0 0 5.033543706e-10 5.033543706e-10 5.033543706e-10
-14 0 0 5.837764343e-10 5.837764343e-10 5.837764343e-10
-15 0 0 5.27784129e-10 5.27784129e-10 5.27784129e-10
-16 0 0 5.134658515e-10 5.134658515e-10 5.134658515e-10
-17 0 0 4.710839192e-10 4.710839192e-10 4.710839192e-10
-18 0 0 3.853010386e-10 3.853010386e-10 3.853010386e-10
-19 0 0 3.917211543e-10 3.917211543e-10 3.917211543e-10
-20 0 0 3.714329749e-10 3.714329749e-10 3.714329749e-10
-21 0 0 3.466971715e-10 3.466971715e-10 3.466971715e-10
-22 0 0 3.276880085e-10 3.276880085e-10 3.276880085e-10
-23 0 0 3.269446145e-10 3.269446145e-10 3.269446145e-10
-24 0 0 3.254115582e-10 3.254115582e-10 3.254115582e-10
-25 0 0 3.230629861e-10 3.230629861e-10 3.230629861e-10
-26 0 0 3.039773554e-10 3.039773554e-10 3.039773554e-10
-27 0 0 3.029632568e-10 3.029632568e-10 3.029632568e-10
-28 0 0 2.957052489e-10 2.957052489e-10 2.957052489e-10
-29 0 0 2.776283771e-10 2.776283771e-10 2.776283771e-10
-30 0 0 2.780427039e-10 2.780427039e-10 2.780427039e-10
-31 0 0 2.653340499e-10 2.653340499e-10 2.653340499e-10
-32 0 0 2.717667818e-10 2.717667818e-10 2.717667818e-10
-33 0 0 2.626623213e-10 2.626623213e-10 2.626623213e-10
-34 0 0 2.432484925e-10 2.432484925e-10 2.432484925e-10
-35 0 0 2.428367237e-10 2.428367237e-10 2.428367237e-10
-36 0 0 2.324737112e-10 2.324737112e-10 2.324737112e-10
-37 0 0 2.346254388e-10 2.346254388e-10 2.346254388e-10
-38 0 0 2.276456356e-10 2.276456356e-10 2.276456356e-10
-39 0 0 2.217184007e-10 2.217184007e-10 2.217184007e-10
-40 0 0 2.163223922e-10 2.163223922e-10 2.163223922e-10
-41 0 0 2.135810256e-10 2.135810256e-10 2.135810256e-10
-42 0 0 2.147516857e-10 2.147516857e-10 2.147516857e-10
-43 0 0 2.128089716e-10 2.128089716e-10 2.128089716e-10
