aperture.dat
-7 0 0 0.0001103617706
-8 0 0 0.0001032989538
-9 0 0 8.694104065e-05
-10 0 0 8.505624621e-05
-11 0 0 8.053939829e-05
-12 0 0 9.503157129e-05
-13 0 0 7.771906103e-05
-14 0 0 8.369777304e-05
-15 0 0 7.958272141e-05
-16 0 0 7.849579746e-05
-17 0 0 7.51864817e-05
-18 0 0 6.799715041e-05
-19 0 0 6.856131454e-05
-20 0 0 6.676223258e-05
-21 0 0 6.450089967e-05
-22 0 0 6.270770369e-05
-23 0 0 6.263653386e-05
-24 0 0 6.24895087e-05
-25 0 0 6.226359959e-05
-26 0 0 6.039642592e-05
-27 0 0 6.029559753e-05
-28 0 0 5.956897672e-05
-29 0 0 5.771949865e-05
-30 0 0 5.776255228e-05
-31 0 0 5.642702011e-05
-32 0 0 5.710692937e-05
-33 0 0 5.6142211e-05
-34 0 0 5.402760322e-05
-35 0 0 5.398185514e-05
-36 0 0 5.281746429e-05
-37 0 0 5.306133495e-05
-38 0 0 5.226612313e-05
-39 0 0 5.158120596e-05
-40 0 0 5.094966837e-05
-41 0 0 5.062580673e-05
-42 0 0 5.076435982e-05
-43 0 0 5.053422265e-05
